R true;R pred;Fi true;Fi pred;Hit
396.7367817826514;411.8657;0.8574385000891448;0.85950416;1
390.2662798319141;390.15652;0.8768154286210955;0.88119894;1
383.94721554977923;379.22696;0.8968379018771749;0.8973436;1
377.78718808744077;368.9938;0.9175218516394623;0.9214842;1
371.7941024782428;380.51566;0.9388820144198251;0.94701815;1
365.97616014187156;374.3696;0.9609316366820959;0.965706;1
360.3418445681483;356.875;0.9836821513577015;0.9854873;1
354.899901523461;351.28015;1.0071428271951262;1.0132213;1
349.65931312629016;350.72083;1.0313203937841873;1.0347759;1
344.6292651684354;356.81107;1.0562186466350487;1.0622352;1
339.81910712189585;348.58505;1.0818380384512765;1.0893943;1
335.23830437423055;327.02438;1.1081752646743779;1.1154438;1
330.89638238321066;359.8483;1.1352228534233582;1.1420025;1
326.80286263875155;337.51718;1.1629687720029827;1.1656748;1
